method,label,method_type,view_index,camera_id,region,region_pixels,valid_points,coverage,xyz_span_x,xyz_span_y,xyz_span_z,xyz_span_norm,z_relief_p95_p5,neighbor_delta_median,neighbor_delta_p95,mean_l2_from_v25_baseline,confidence_mean,normal_available,notes
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,4,16,upper,8052,8052,1.0,0.08019647687673569,0.19379259362816809,0.17502107262611388,0.2731655544020302,0.14339311122894283,0.0016580367228016257,0.0049976566806435585,0.00030385475838556886,2.2912328243255615,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,4,16,head_face,4022,4022,1.0,0.0767034088820219,0.12591900400817393,0.14400149822235098,0.20609570591066403,0.10796622037887571,0.0017104230355471373,0.004674073308706284,0.0003468278737273067,2.319028377532959,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,4,16,left_hand,897,897,1.0,0.04646847553551167,0.1508552525937557,0.08322790145874015,0.17844749937991858,0.07490414381027222,0.0032735553104430437,0.009139148518443108,0.0005572584341280162,1.2630531787872314,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,4,16,right_hand,6535,6535,1.0,0.056577563583850854,0.2197171577811241,0.16100934982299808,0.27820974255932274,0.14005135297775273,0.0016270290361717343,0.0036529505159705877,0.00022387260105460882,2.5824625492095947,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,5,21,full,11264,11264,1.0,0.11456032302230595,0.3222236970067024,0.2351039278507232,0.4150012474854507,0.1966855943202972,0.0018573265988379717,0.004341471008956432,0.0002018492523347959,1.9025242328643799,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,5,21,upper,8239,8239,1.0,0.11799229741096494,0.1779492510855198,0.14879443407058712,0.26024584880570384,0.1251511394977569,0.0017775011947378516,0.004140076227486134,0.00019603624241426587,1.9939789772033691,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,5,21,head_face,3993,3993,1.0,0.09397132858633994,0.10299633532762523,0.10693125247955315,0.17570756513038485,0.0876762151718139,0.0016829262021929026,0.0037276719231158495,0.00019146502017974854,2.2273385524749756,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,5,21,left_hand,4312,4312,1.0,0.06914555907249449,0.22514612570404996,0.14798818230628974,0.27815892644549683,0.13228114545345304,0.0019994499161839485,0.004697831813246012,0.00023402177612297237,1.8218979835510254,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,5,21,right_hand,4024,4024,1.0,0.05893103379756212,0.21489832282066346,0.15353452444076532,0.27060488925892573,0.13665562868118286,0.001740472624078393,0.0035390788689255714,0.00015124163473956287,2.050121784210205,True,prior-enabled prediction; this is the main point-map source used by V50R2
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,0,00,full,11240,11240,1.0,0.10354723412543534,0.3237854009866714,0.20760916948318475,0.3983222098259461,0.19696236252784727,0.0017436107154935598,0.0033252944704145193,0.0001637461973587051,4.775753021240234,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
