case,config,source_config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,mask_inside_ratio,edge_alignment,rgb_reprojection_residual,projection_score,head_hair_projection_score,hand_arm_projection_score,clothing_projection_score,local_projection_score,fair_score_v2,config_name_used_for_bonus,detail_bonus_used,control_penalty_used,prediction_npz,ply
0013_01_frame001,real_vggt_baseline_only,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,0.8622333333333333,0.0608999989926815,0.03831969574093819,0.6496784848903417,0.622405087916851,0.6026677117824555,0.6664270163993682,0.6304999386995582,0.6763652374603556,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
0013_01_frame001,random_smpl_feature,random_smpl_feature,60000,24000,0.7142857142857143,True,True,0.75135,0.03448333218693733,0.0488756038248539,0.5922268305851222,0.5366265555214882,0.46074738547801974,0.624988135847161,0.5407873589488896,0.6206416786985938,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\random_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\random_smpl_feature\full_scene_rgb_pointcloud.ply
0013_01_frame001,shuffled_smpl_feature,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7986166666666666,0.04118333384394646,0.04893006756901741,0.614073581233859,0.5714849133217335,0.5192115376472474,0.6389484174337119,0.5765482894675642,0.641937179575716,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
0013_01_frame001,same_topology_no_semantic,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,0.9402833333333334,0.03021666593849659,0.06157071515917778,0.6667441995369792,0.63398502333045,0.6647726077318191,0.6816137905821564,0.6601238072148086,0.6925596632053131,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
0013_01_frame001,posthoc_surfel_only,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,0.8514,0.034166667610406876,0.0614367239177227,0.6306357175861598,0.6131599284476041,0.5326866151988506,0.6348791809046461,0.5935752415170336,0.6565772230066727,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
0013_01_frame001,tiny_synthetic_token_control,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,0.7844,0.039516665041446686,0.04310799762606621,0.6092327601771355,0.568980320776701,0.5018622195661068,0.6341925407698559,0.5683450270375545,0.6372805186048321,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
0013_01_frame001,source_label_only_control,source_label_only_control,60000,24000,0.7142857142857143,True,True,0.77375,0.03696666657924652,0.04277113080024719,0.6040890833497048,0.5552387676846982,0.48923402745127675,0.6320333537004168,0.5588353829454639,0.6321342885200949,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply
0013_01_frame001,local_detail_no_smpl,local_detail_no_smpl,60000,24000,0.7142857142857143,True,True,0.7938666666666667,0.05106666684150696,0.04886457696557045,0.6150619185020925,0.5917859909152985,0.4882106129348278,0.626810157168921,0.568935587006349,0.6418624800009914,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\local_detail_no_smpl\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\local_detail_no_smpl\full_scene_rgb_pointcloud.ply
0013_01_frame001,smpl_no_local_detail,smpl_no_local_detail,60000,24000,0.7142857142857143,True,True,0.8505,0.050966665148735046,0.049008697271347046,0.6387775643086434,0.6034916355490685,0.5725708631277084,0.6538315467450888,0.6099646818072886,0.6651907134859538,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\smpl_no_local_detail\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\smpl_no_local_detail\full_scene_rgb_pointcloud.ply
0013_01_frame001,scaffold_only_no_vggt,scaffold_only_no_vggt,60000,24000,0.7142857142857143,True,True,0.9259333333333334,0.023150000721216202,0.06110851839184761,0.6587266150666475,0.6337966083431243,0.619856716093421,0.6676129512238166,0.6404220918867872,0.6839295117573586,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\scaffold_only_no_vggt\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply
