case,config,part_a,part_b,part_a_name,part_b_name,is_adjacent,mean_bbox_overlap,volume_bbox_overlap,thin_axis_overlap,normalized_center_distance,normalized_center_distance_xy,invalid_overlap_penalty,pair_separation_or_contact_score
0012_11_frame001,front_back_occupancy_true,1,6,torso_shoulder,left_foot_endpoint,False,0.851023583394984,0.8208432482446184,1.0,0.4596653346244573,0.24861725399231016,1.0,0.6384240758673019
0012_11_frame001,front_back_occupancy_true,1,7,torso_shoulder,right_foot_endpoint,False,0.6666666666666666,0.0,1.0,0.6652099848589967,0.6114478392625552,0.0,0.9239027567486067
0012_11_frame001,front_back_occupancy_true,2,3,left_arm_endpoint,right_arm_endpoint,False,0.3493443152943907,0.0,0.6690793696754141,0.37456523735733005,0.20356977488016897,0.0,0.5202294963296251
0012_11_frame001,front_back_occupancy_true,2,4,left_arm_endpoint,left_leg,False,0.8281171575344844,0.7853324474496781,1.0,0.4875149556199869,0.39562988044416997,1.0,0.6771041050277596
0012_11_frame001,front_back_occupancy_true,2,5,left_arm_endpoint,right_leg,False,0.7786122809114874,0.6950927831785697,1.0,0.5598087195884679,0.46636086039596986,0.9225737641009822,0.7775121105395387
0012_11_frame001,front_back_occupancy_true,2,6,left_arm_endpoint,left_foot_endpoint,False,0.9708690025346316,0.9699766202619003,1.0,0.35754893581498226,0.24298520364937276,1.0,0.4965957441874754
0012_11_frame001,front_back_occupancy_true,2,7,left_arm_endpoint,right_foot_endpoint,False,0.6666666666666666,0.0,1.0,0.7127763181461096,0.6453503904983783,0.0,0.9899671085362635
0012_11_frame001,front_back_occupancy_true,3,4,right_arm_endpoint,left_leg,False,0.7713819905503597,0.679793746306991,1.0,0.4902757790262914,0.27814452803188927,0.8961961143223982,0.6809385819809602
0012_11_frame001,front_back_occupancy_true,3,5,right_arm_endpoint,right_leg,False,0.8901167252621974,0.8751864313660496,1.0,0.42297471845766665,0.3141614314738477,1.0,0.5874648867467592
0012_11_frame001,front_back_occupancy_true,3,6,right_arm_endpoint,left_foot_endpoint,False,0.6666666666666666,0.0,1.0,0.549125330004983,0.2186737025131647,0.0,0.7626740694513653
0012_11_frame001,front_back_occupancy_true,3,7,right_arm_endpoint,right_foot_endpoint,False,0.8011039629323079,0.7388342301914413,1.0,0.5493135558805016,0.4794480534083694,1.0,0.7629354942784744
0012_11_frame001,front_back_occupancy_true,4,5,left_leg,right_leg,False,0.9381600357095722,0.93739312840223,0.9797641421453825,0.18762055889584264,0.09809809986522171,0.85,0.26058410957755923
0012_11_frame001,front_back_occupancy_true,4,6,left_leg,left_foot_endpoint,True,0.8700179880045829,0.8693376470668486,0.8868023171492604,0.24795934501388212,0.17618772278853717,0.0,0.4489457218020358
0012_11_frame001,front_back_occupancy_true,4,7,left_leg,right_foot_endpoint,False,0.7847707769411133,0.7824366398848086,0.8694119514718849,0.39645009750889965,0.2702660953891353,0.95,0.5506251354290274
0012_11_frame001,front_back_occupancy_true,5,6,right_leg,left_foot_endpoint,False,0.7831156688036902,0.782307688436928,0.8338117869725747,0.4179079698609483,0.267934745535538,0.95,0.5804277359179838
0012_11_frame001,front_back_occupancy_true,5,7,right_leg,right_foot_endpoint,True,0.8320095519629952,0.8317134380519976,0.8076424934995746,0.27396336279261657,0.18079819544201,0.0,0.4396352033337597
0012_11_frame001,front_back_occupancy_true,6,7,left_foot_endpoint,right_foot_endpoint,False,0.7086633756021553,0.6841709577085249,0.9837031373759045,0.5910541425441812,0.4458139462595003,0.7229944244255516,0.8209085313113628
0012_11_frame001,collision_aware_topology_true,0,1,head_hair,torso_shoulder,True,0.6666666666666666,0.0,1.0,0.2470792856674068,0.21656224271069627,0.0,0.3736731364153379
0012_11_frame001,collision_aware_topology_true,0,2,head_hair,left_arm_endpoint,False,0.6097248482010023,0.0,1.0,0.2898738220289866,0.2227870634654591,0.0,0.40260253059581474
0012_11_frame001,collision_aware_topology_true,0,3,head_hair,right_arm_endpoint,False,0.7322147891476849,0.7111866919643262,0.9546844656887591,0.2814221008438602,0.15042370507320754,0.6177092237531241,0.3908640289498059
0012_11_frame001,collision_aware_topology_true,0,4,head_hair,left_leg,False,1.0,1.0,1.0,0.2075803560245026,0.18741182375452994,1.0,0.28830605003403137
0012_11_frame001,collision_aware_topology_true,0,5,head_hair,right_leg,False,0.9864821237878907,0.9862951591517822,1.0,0.21872951742466215,0.19585779119302832,1.0,0.3037909964231419
0012_11_frame001,collision_aware_topology_true,0,6,head_hair,left_foot_endpoint,False,0.9677033306952962,0.966600203995949,1.0,0.22814585032478976,0.14731036944143197,1.0,0.316869236562208
0012_11_frame001,collision_aware_topology_true,0,7,head_hair,right_foot_endpoint,False,0.967473139652225,0.9663537672957628,1.0,0.1858586214201174,0.07802003701053031,1.0,0.2581369741946075
0012_11_frame001,collision_aware_topology_true,1,2,torso_shoulder,left_arm_endpoint,True,0.7897840453834432,0.7332544575653386,0.9576928936439113,0.2412200158470549,0.10073920051303288,0.0,0.6326072820480136
0012_11_frame001,collision_aware_topology_true,1,3,torso_shoulder,right_arm_endpoint,True,0.7596034513125454,0.7414676694284851,1.0,0.2224581624181513,0.1335545901978034,0.0,0.5449472276098349
0012_11_frame001,collision_aware_topology_true,1,4,torso_shoulder,left_leg,True,1.0,1.0,1.0,0.07000841772764016,0.037804692411402795,0.0,0.8421143124408215
0012_11_frame001,collision_aware_topology_true,1,5,torso_shoulder,right_leg,True,1.0,1.0,1.0,0.04120362279923607,0.02344170905173046,0.0,0.898927203319268
